Labelled Phrase,Detected Phrase,Intent Id,Intent Name,Top Match Intent Id,Top Match Intent Name,Top Match Score,Entropy,Uncertainty,Margin Score,Result Type,Num Correct Entities,Num Missed Entities,Num Spurious Entities,Labelled Entities,Detected Entities,Combined result type
the search bar does not work,the search bar does not work,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.970535,0.150060,0.029465,0.048359,Pass,0,0,0,,,Pass
search bar,search bar,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.695300,0.606867,0.304700,0.473646,Pass,0,0,0,,,Pass
Bottom line:  the search bar doesn't work.,Bottom line:  the search bar doesn't work.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.950336,0.185842,0.049664,0.079209,Pass,0,0,0,,,Pass
why doesn't search bar work,why doesn't search bar work,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.933613,0.221452,0.066387,0.093729,Pass,0,0,0,,,Pass
"Hi, I am having a hard time with the website and it is frustrating. I can't seem to get the search bar to work.","Hi, I am having a hard time with the website and it is frustrating. I can't seem to get the search bar to work.",intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.457683,0.753947,0.542317,0.716244,Pass,0,0,0,,,Pass
attempt to find out what the search bar doesn't work.,attempt to find out what the search bar doesn't work.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.930007,0.223087,0.069993,0.103780,Pass,0,0,0,,,Pass
I am frustrated because the search function on your website doesn't seem to work,I am frustrated because the search function on your website doesn't seem to work,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.647007,0.594232,0.352993,0.480612,Pass,0,0,0,,,Pass
The search bar isn't working for me,The search bar isn't working for me,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.885304,0.352730,0.114696,0.201899,Pass,0,0,0,,,Pass
search bar not working,search bar not working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.961081,0.205248,0.038919,0.068489,Pass,0,0,0,,,Pass
search is NOT working,search is NOT working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.727523,0.491232,0.272477,0.471509,Pass,0,0,0,,,Pass
My search bar isn't working,My search bar isn't working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.942246,0.197017,0.057754,0.083844,Pass,0,0,0,,,Pass
Search bar isn't working.,Search bar isn't working.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.930783,0.249732,0.069217,0.112527,Pass,0,0,0,,,Pass
Your search bar isn't working,Your search bar isn't working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.964176,0.142618,0.035824,0.053411,Pass,0,0,0,,,Pass
the search bar is not working,the search bar is not working,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.969727,0.133717,0.030273,0.045236,Pass,0,0,0,,,Pass
The search bar is broken,The search bar is broken,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.908137,0.326762,0.091863,0.138852,Pass,0,0,0,,,Pass
The searches won't go through,The searches won't go through,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.731128,0.535172,0.268872,0.394651,Pass,0,0,0,,,Pass
"Hi, I'm having a lot of trouble with the search function on the website today","Hi, I'm having a lot of trouble with the search function on the website today",intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.238232,0.896995,0.761768,0.997594,Pass,0,0,0,,,Pass
The search bar doesn't seem to be working either.,The search bar doesn't seem to be working either.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.919654,0.269098,0.080346,0.127531,Pass,0,0,0,,,Pass
The search bar doesn't work when I am searching for an item.,The search bar doesn't work when I am searching for an item.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.849164,0.371774,0.150836,0.223444,Pass,0,0,0,,,Pass
The search bar doesn't seem to be working.,The search bar doesn't seem to be working.,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.943822,0.209254,0.056178,0.092977,Pass,0,0,0,,,Pass
The search bar is back working for me.,The search bar is back working for me.,intent-A3JTXRUZ4FNXNCFU2MUOE5BP,search_issue / search_is_fixed,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.664035,0.616047,0.335965,0.557962,Fail,0,0,0,,,IntentFail
I'm getting no search results,I'm getting no search results,intent-2OCSU3CW65JCLMLXIF5OKDLO,search_issue / no_search_results,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.326792,0.828736,0.673208,0.986390,Fail,0,0,0,,,IntentFail
search is slow,search is slow,intent-O3KV4TFKRBOHXNQ6RQF6YE3S,search_issue / search_is_slow,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.372901,0.789400,0.627099,0.930594,Fail,0,0,0,,,IntentFail
Search bar is going forever,Search bar is going forever,intent-O3KV4TFKRBOHXNQ6RQF6YE3S,search_issue / search_is_slow,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.739744,0.669414,0.260256,0.402610,Fail,0,0,0,,,IntentFail
The search is slow,The search is slow,intent-O3KV4TFKRBOHXNQ6RQF6YE3S,search_issue / search_is_slow,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.413681,0.789127,0.586319,0.821423,Fail,0,0,0,,,IntentFail
"Hi, I am having issues with the site. Everytime I do a search unrelated items come up.","Hi, I am having issues with the site. Everytime I do a search unrelated items come up.",intent-V7JAQWH6ZZKI7JO26Q5U7I6C,search_issue / unrelated_search_results,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.352080,0.736016,0.647920,0.982033,Fail,0,0,0,,,IntentFail
"Hi. I am really upset right now. I want to search on your site, but it's broken","Hi. I am really upset right now. I want to search on your site, but it's broken",intent-6ONU6LQMLRKLZD3FQVAA7QGF,technical_issues / i_have_an_issue,intent-KZACIBBOHFKZXCUDQ7HJEP7O,search_issue / search_problem,0.404855,0.733922,0.595145,0.794954,Fail,0,0,0,,,IntentFail
"Hi! Can you tell me about the return policy? I was thinking of buying a few things, but I want to make sure that I can return them if they don't fit.","Hi! Can you tell me about the return policy? I was thinking of buying a few things, but I want to make sure that I can return them if they don't fit.",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.961833,0.138985,0.038167,0.051907,Pass,0,0,0,,,Pass
query return policy,query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.610800,0.501463,0.389200,0.450322,Pass,0,0,0,,,Pass
"Hi there, I'm considering making a purchase but am wondering what your return policy is?","Hi there, I'm considering making a purchase but am wondering what your return policy is?",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.970893,0.000000,0.029107,0.000000,Pass,0,0,0,,,Pass
what is the refund policy? i am thinking about buying stuff and would like to know about the refund policy,what is the refund policy? i am thinking about buying stuff and would like to know about the refund policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.972687,0.000000,0.027313,0.000000,Pass,0,0,0,,,Pass
"Hello, I would like to know what the refund policy is because I am thinking of purchasing something","Hello, I would like to know what the refund policy is because I am thinking of purchasing something",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.957577,0.000000,0.042423,0.000000,Pass,0,0,0,,,Pass
"Hello, I would like to know what the return policy is as I would like to order something soon","Hello, I would like to know what the return policy is as I would like to order something soon",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.964887,0.000000,0.035113,0.000000,Pass,0,0,0,,,Pass
"Hello, I would like to know what the return policy is as I am thinking about purchasing something for a birthday","Hello, I would like to know what the return policy is as I am thinking about purchasing something for a birthday",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.971820,0.000000,0.028180,0.000000,Pass,0,0,0,,,Pass
I'm thinking about buying something but I want to know what your return policy is first,I'm thinking about buying something but I want to know what your return policy is first,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.974428,0.000000,0.025572,0.000000,Pass,0,0,0,,,Pass
"Hello, I'm thinking of purchasing something and wanted to know what your return policy is.","Hello, I'm thinking of purchasing something and wanted to know what your return policy is.",intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,intent-P6ZL4R5CVJN53BW4C4BZI2O4,shipping_issues / query return policy,0.984508,0.000000,0.015492,0.000000,Pass,0,0,0,,,Pass
